dataset_dir,base,tile_id,method,family,source_kind,trajectory_theta_deg,mask_separation,corr_with_rec,unified_score
generated_from_source,C15D5P001_1,7,Chirplet Transform,FFT-like/Wavelet,dynamic,-2.05797491,0.00209067,0.88559736,0.26714268
generated_from_source,C15D5P001_1,7,Gabor Transform,FFT-like/Wavelet,dynamic,-2.05797491,0.00000000,0.87710255,0.26313076
generated_from_source,C15D5P001_1,7,Morlet Wavelet,FFT-like/Wavelet,dynamic,-2.05797491,0.00000000,0.87710255,0.26313076
generated_from_source,C15D5P001_1,7,CNN-style ConvBank + SVD Rank-40,SVD,file,-2.05797491,0.00675356,0.80852897,0.24728618
generated_from_source,C15D5P001_1,7,SVD Energy-99%,SVD,file,-2.05797491,0.00000000,0.95090963,0.28527289
generated_from_source,C15D5P001_1,7,SVD Rank-20,SVD,file,-2.05797491,0.00133230,0.94561895,0.28461829
generated_from_source,C15D5P001_1,8,FFT Pipeline,FFT,file,-11.43119043,0.23932819,0.49794368,0.31691283
generated_from_source,C15D5P001_1,8,Chirplet Transform,FFT-like/Wavelet,dynamic,-11.43119043,0.04283850,0.89918837,0.29974346
generated_from_source,C15D5P001_1,8,Gabor Transform,FFT-like/Wavelet,dynamic,-11.43119043,0.05141080,0.87279599,0.29782636
generated_from_source,C15D5P001_1,8,Morlet Wavelet,FFT-like/Wavelet,dynamic,-11.43119043,0.05141080,0.87279599,0.29782636
generated_from_source,C15D5P001_1,8,CNN-style ConvBank + SVD Rank-40,SVD,file,-11.43119043,0.04204451,0.78478920,0.26486791
generated_from_source,C15D5P001_1,8,SVD Energy-99%,SVD,file,-11.43119043,0.02350318,0.93752255,0.29770899
generated_from_source,C15D5P001_1,8,SVD Rank-20,SVD,file,-11.43119043,0.02315029,0.93089183,0.29547275
generated_from_source,C15D5P001_1,9,FFT Pipeline,FFT,file,-15.60302146,0.22559294,0.52123350,0.31428511
generated_from_source,C15D5P001_1,9,Chirplet Transform,FFT-like/Wavelet,dynamic,-15.60302146,0.03428656,0.87263794,0.28579197
generated_from_source,C15D5P001_1,9,Gabor Transform,FFT-like/Wavelet,dynamic,-15.60302146,0.04399600,0.84501917,0.28430295
generated_from_source,C15D5P001_1,9,Morlet Wavelet,FFT-like/Wavelet,dynamic,-15.60302146,0.04399600,0.84501917,0.28430295
generated_from_source,C15D5P001_1,9,CNN-style ConvBank + SVD Rank-40,SVD,file,-15.60302146,0.04503546,0.78110961,0.26585771
generated_from_source,C15D5P001_1,9,SVD Energy-99%,SVD,file,-15.60302146,0.02677792,0.93150077,0.29819477
generated_from_source,C15D5P001_1,9,SVD Rank-20,SVD,file,-15.60302146,0.02613352,0.92015308,0.29433939
generated_from_source,C15D5P001_1,10,FFT Pipeline,FFT,file,-14.78731694,0.20058930,0.54682088,0.30445878
generated_from_source,C15D5P001_1,10,Chirplet Transform,FFT-like/Wavelet,dynamic,-14.78731694,0.02241856,0.89512467,0.28423039
generated_from_source,C15D5P001_1,10,Gabor Transform,FFT-like/Wavelet,dynamic,-14.78731694,0.02734275,0.87485064,0.28159512
generated_from_source,C15D5P001_1,10,Morlet Wavelet,FFT-like/Wavelet,dynamic,-14.78731694,0.02734275,0.87485064,0.28159512
generated_from_source,C15D5P001_1,10,CNN-style ConvBank + SVD Rank-40,SVD,file,-14.78731694,0.01986809,0.82030556,0.25999933
generated_from_source,C15D5P001_1,10,SVD Energy-99%,SVD,file,-14.78731694,0.01046190,0.95201604,0.29292814
generated_from_source,C15D5P001_1,10,SVD Rank-20,SVD,file,-14.78731694,0.01347780,0.94764738,0.29372867
