tile_id,left,top,size,pAng,pAng_adj,pAng_fiber_axis
1,148,53,128,155,155.0,65.0
2,134,155,128,155,155.0,65.0
3,162,257,128,158,158.0,68.0
4,167,359,128,157,157.0,67.0
5,158,461,128,173,173.0,83.0
6,162,564,128,178,178.0,88.0
7,159,666,128,2,2.0,92.0
8,157,768,128,12,12.0,102.0
9,163,870,128,17,17.0,107.0
10,163,972,128,19,19.0,109.0
